id,title,category,location,description,slug,image,timeOfDay,mood,priceLevel,tips,longDescription,trending
165,Motorcycle Ride,Outdoor,"{""type"":""outdoor"",""setting"":""urban""}",Ride through the city on a motorcycle.,motorcycle-ride,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""fast"",""vibe"":""adventurous""}",Moderate,Wear safety gear.,Motorcycle rides can be thrilling and adventurous.,
166,Snooker,Indoor Games,"{""type"":""indoor"",""setting"":""urban""}",Play a game of snooker,snooker,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""leisurely"",""vibe"":""competitive""}",Affordable,Practice your aim.,Snooker is a fun and competitive indoor game.,
167,River Drinks,Outdoor,"{""type"":""outdoor"",""setting"":""river""}",Sip drinks by the scenic river.,river-drinks,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""relaxed"",""vibe"":""romantic""}",Moderate,Bring a jacket for the breeze.,Drinking by the river offers a romantic and scenic experience.,
168,Lounge Drinks,Nightlife,"{""type"":""indoor"",""setting"":""urban""}",Enjoy drinks at a stylish lounge.,lounge-drinks,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""slow"",""vibe"":""sophisticated""}",High,Try the signature cocktail.,Lounges offer a sophisticated atmosphere for a night out.,
169,"Hot Yoga ",Fitness,"{""type"":""indoor"",""setting"":""urban""}",Rejuvenate with a hot yoga session.,hot-yoga,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""nostalgic""}",Moderate,Stay hydrated.,"Hot yoga is a relaxing and rejuvenating fitness activity. ",
170,Pilates,Fitness,"{""type"":""indoor"",""setting"":""studio""}","Strengthen your core and posture with a Pilates session.  ",pilates,"/placeholder.svg?height=300&width=400  
",Daytime,"{""pace"":""steady"","https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/acupuncture_session_relaxation_diverse_couple_400x300_17605137834.jpg","Moderate  ","Wear form-fitting clothes to help with alignment.  
","Pilates is a low-impact, full-body workout that emphasizes core strength,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/acupuncture_session_relaxation_diverse_couple_400x300_17605137834.jpg", and precision. It’s ideal for building long-term stability and body awareness.  ",
171,Outdoor Festival,Entertainment,"{""type"":""outdoor"",""setting"":""park"",""venueType"":""festival grounds""}","Multiple performances, food and drink stalls and a full day of music",open-air-festival,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""energetic"",""vibe"":""festive""}",High,Carry water. Sunscreen. Set meet points before the crowd.,"Walk between stages, try food trucks and discover new artists. Plan a simple schedule so you do not spend the day searching. Close the night with the headliner and a slow walk back.",
172,Local Indie Gig,Entertainment,"{""type"":""indoor"",""setting"":""urban"",""venueType"":""small venue""}",Support a local band and enjoy raw sound in a small room.,local-indie-gig,placeholder.svg?height=300&width=400,Evening,"{""pace"":""upbeat"",""vibe"":""casual""}",Affordable,Bring cash for merch. Stand mid room for balanced sound.,"Choose a small venue with a rising band. Get close to the stage, feel the energy of the crowd and talk to the band at the merch table after the set.",
173,Sit down in a Park,Outdoor,"{""type"":""outdoor"",""setting"":""park""}","A simple, relaxing date where you enjoy nature together.",sit-down-in-a-park,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""scenic""}",Affordable,Bring a blanket or snacks.,Perfect for couples who want to talk without distractions. Choose a quiet spot under trees.,
174,Paint on a Viewpoint,Outdoor,"{""type"":""outdoor"",""setting"":""rooftop""}",An artsy date where you paint together while enjoying the view.,paint-on-rooftop,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""romantic""}",Affordable,Bring extra brushes and protective sheets.,Great for bonding over creativity and making memories with a unique backdrop.,
175,Lie down in a park with a good book,Relaxation,"{""type"":""outdoor"",""setting"":""urban park""}",Share a peaceful reading date in the park,lie-down-park-book,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""cozy""}",Affordable,"Pick a shaded area, bring two books or read aloud to each other",For couples who enjoy quiet moments. The setting fosters closeness without pressure.,
